0,6,3,3
1,0,1,1
2,1,7,7
3,8,5,9
4,6,9,2
5,0,0,2
6,6,2,3
7,9,8,0
8,3,1,4
9,6,6,8
10,6,5,3
11,4,3,1
12,1,3,7
13,1,5,0
14,7,4,6
15,4,5,6
16,2,1,7
17,6,0,7
18,8,8,4
19,0,3,5
20,0,8,7
21,9,6,4
22,2,7,6
23,5,9,1
24,2,9,5
25,6,7,6
26,4,9,4
27,5,3,7
28,5,7,4
29,1,7,0
30,1,4,1
31,1,0,1
32,4,7,6
33,9,6,9
34,8,4,8
35,9,5,1
36,7,4,3
37,5,8,5
38,5,7,7
39,6,6,3
40,4,8,8
41,4,5,8
42,3,9,9
43,9,1,8
44,3,7,5
45,4,9,6
46,7,0,2
47,1,4,0
48,1,9,6
49,6,6,0
50,6,3,2
51,5,0,0
52,7,8,7
53,1,0,8
54,9,5,0
55,8,3,9
56,2,0,6
57,4,0,2
58,4,8,6
59,3,7,7
60,2,6,1
61,5,1,3
62,3,2,5
63,9,8,7
64,3,3,7
65,6,0,3
66,5,1,8
67,0,6,0
68,5,2,5
69,6,1,7
70,0,8,1
71,8,2,0
72,2,0,5
73,3,6,8
74,4,0,4
75,2,5,2
76,7,9,8
77,2,7,1
78,8,5,1
79,6,0,8
80,0,9,8
81,6,1,3
82,5,6,8
83,1,2,2
84,5,7,1
85,1,2,0
86,6,0,3
87,4,3,6
88,6,8,7
89,6,9,3
90,2,6,5
91,8,2,6
92,8,9,6
93,2,2,3
94,7,6,0
95,1,6,6
96,6,1,7
97,8,9,1
98,2,5,2
99,9,2,9
