0,4,9
1,9,2
2,7,7
3,1,1
4,6,2
5,1,3
6,7,1
7,2,8
8,5,4
9,6,3
10,0,6
11,4,0
12,4,8
13,2,1
14,6,6
15,1,6
16,3,8
17,9,0
18,8,3
19,3,0
20,7,5
21,6,1
22,7,9
23,4,4
24,2,5
25,4,3
26,0,1
27,6,8
28,3,7
29,3,8
30,5,2
31,8,5
32,8,8
33,9,1
34,8,0
35,8,5
36,4,4
37,6,2
38,4,4
39,0,5
40,0,3
41,4,9
42,3,4
43,5,7
44,0,1
45,7,1
46,4,5
47,7,5
48,7,7
49,5,2
50,7,7
51,4,8
52,0,9
53,9,6
54,6,3
55,3,7
56,6,8
57,0,4
58,3,1
59,8,6
60,1,8
61,8,2
62,9,9
63,1,0
64,5,4
65,1,8
66,4,6
67,7,8
68,1,3
69,4,1
70,2,0
71,7,8
72,5,1
73,2,7
74,8,7
75,8,0
76,0,4
77,7,5
78,2,5
79,8,6
80,0,1
81,0,2
82,3,5
83,5,4
84,8,9
85,2,1
86,9,0
87,5,1
88,4,0
89,1,9
90,3,7
91,2,3
92,1,7
93,9,2
94,7,9
95,8,8
96,1,9
97,2,9
98,6,3
99,6,3
100,7,1
101,5,4
102,2,2
103,1,8
104,4,3
105,6,6
106,2,8
107,3,4
108,3,9
109,2,0
110,6,2
111,1,4
112,5,0
113,4,6
114,5,1
115,0,1
116,7,1
117,3,3
118,4,7
119,7,3
120,1,0
121,5,4
122,4,9
123,3,5
124,5,5
125,8,4
126,3,7
127,3,0
128,2,2
129,8,1
130,8,9
131,3,1
132,9,7
133,5,9
134,8,9
135,3,2
136,4,7
137,3,8
138,1,4
139,6,5
140,3,0
141,7,0
142,0,9
143,7,6
144,2,7
145,8,7
146,2,4
147,3,2
148,7,2
149,8,3
150,9,7
151,5,7
152,7,2
153,7,1
154,2,3
155,7,2
156,9,6
157,9,2
158,9,5
159,4,3
160,7,0
161,8,9
162,6,6
163,4,1
164,8,9
165,4,9
166,0,6
167,7,2
168,4,2
169,9,1
170,6,4
171,4,1
172,9,3
173,1,8
174,2,5
175,3,4
176,1,4
177,5,5
178,1,1
179,3,3
180,6,0
181,4,6
182,7,9
183,9,6
184,2,1
185,0,5
186,9,3
187,9,1
188,0,6
189,8,0
190,0,5
191,2,2
192,2,6
193,4,3
194,8,7
195,2,6
196,0,3
197,8,6
198,6,1
199,2,0
200,1,8
201,3,1
202,7,6
203,5,8
204,0,5
205,0,5
206,8,9
207,9,6
208,1,9
209,9,1
210,5,5
211,9,0
212,5,7
213,6,6
214,0,0
215,5,0
216,9,7
217,2,8
218,6,9
219,7,6
220,2,0
221,4,4
222,8,9
223,1,6
224,8,5
225,6,8
226,0,2
227,3,0
228,7,2
229,5,0
230,9,3
231,7,8
232,7,3
233,6,5
234,7,4
235,8,4
236,9,3
237,3,7
238,4,7
239,1,2
240,4,2
241,9,3
242,2,2
243,3,4
244,2,5
245,8,1
246,6,7
247,5,5
248,9,9
249,1,0
250,7,2
251,5,2
252,7,1
253,0,5
254,6,8
255,8,7
256,9,3
257,7,0
258,7,3
259,1,6
260,9,1
261,7,0
262,0,4
263,4,8
264,1,6
265,4,9
266,8,3
267,2,0
268,8,8
269,9,4
270,5,1
271,2,8
272,5,7
273,7,2
274,1,2
275,9,3
276,2,2
277,1,5
278,3,7
279,0,9
280,6,8
281,3,8
282,7,2
283,2,4
284,4,0
285,9,2
286,0,0
287,2,3
288,5,9
289,6,3
290,2,3
291,6,7
292,8,4
293,8,1
294,6,6
295,8,3
296,3,2
297,5,1
298,7,6
299,8,0
300,0,9
301,4,4
302,9,7
303,4,0
304,1,9
305,5,4
306,1,9
307,0,9
308,6,4
309,3,8
310,6,7
311,9,8
312,4,7
313,0,6
314,3,5
315,7,2
316,2,5
317,5,7
318,9,2
319,9,0
320,4,2
321,6,1
322,9,2
323,8,6
324,3,2
325,5,0
326,5,9
327,4,5
328,7,5
329,9,1
330,2,5
331,3,8
332,3,5
333,0,5
334,4,4
335,0,8
336,5,7
337,6,3
338,7,6
339,5,4
340,1,1
341,2,9
342,2,5
343,6,0
344,1,4
345,7,9
346,8,8
347,9,8
348,5,6
349,2,7
350,5,0
351,4,1
352,5,5
353,0,1
354,8,0
355,1,6
356,4,0
357,7,2
358,4,5
359,5,9
360,6,3
361,6,3
362,1,8
363,2,9
364,7,5
365,8,8
366,6,5
367,6,9
368,4,0
369,2,6
370,9,8
371,9,4
372,7,6
373,0,2
374,7,3
375,3,0
